# time_mcc alt lat lon
1.683996706708467245e+09 3.254259374075163942e+04 -4.153333284695011685e+01 -6.932133489505419277e+01
1.683996906880798578e+09 3.257059374651186954e+04 -4.154033282574739872e+01 -6.913316351574221130e+01
1.683997107211602211e+09 3.275690624833966285e+04 -4.154833222076956645e+01 -6.892366798802363803e+01
1.683997307581520081e+09 3.261479686564178701e+04 -4.155666735292334835e+01 -6.873883059451794963e+01
1.683997508053854704e+09 3.261479686564178701e+04 -4.155666735292334835e+01 -6.873883059451794963e+01
1.683997708628594637e+09 3.267120311913806654e+04 -4.156316760265342225e+01 -6.855233006378456651e+01
1.683997909051729202e+09 3.283949999786901753e+04 -4.156449894224398633e+01 -6.836933140837804501e+01
1.683998109444303751e+09 3.283949999786901753e+04 -4.156449894224398633e+01 -6.836933140837804501e+01
1.683998309766380548e+09 3.270899999437597580e+04 -4.157116699767558998e+01 -6.820050051626760990e+01
1.683998510103960991e+09 3.263009374324001692e+04 -4.157300188009929798e+01 -6.804083255306836975e+01
1.683998710705346107e+09 3.263009374324001692e+04 -4.157300188009929798e+01 -6.804083255306836975e+01
1.683998911120541096e+09 3.265170312245648529e+04 -4.158533480288119222e+01 -6.788083652217892450e+01
1.683999111414636374e+09 3.284490624462368578e+04 -4.160233309296945237e+01 -6.772316747524848779e+01
1.683999311576115370e+09 3.284490624462368578e+04 -4.160233309296945237e+01 -6.772316747524848779e+01
1.683999511630382299e+09 3.283920311551522173e+04 -4.160733415549791658e+01 -6.756300355483847397e+01
1.683999711911020756e+09 3.285379686878383654e+04 -4.161166764134812723e+01 -6.742199714468372918e+01
1.683999912158237457e+09 3.285990624941417627e+04 -4.161716843294379231e+01 -6.728083038872127020e+01
1.684000112481930017e+09 3.285990624941417627e+04 -4.161716843294379231e+01 -6.728083038872127020e+01
1.684000312727159023e+09 3.291140624995143298e+04 -4.163716509743527894e+01 -6.714183052236722915e+01
1.684000512823879242e+09 3.291140624995143298e+04 -4.163716509743527894e+01 -6.714183052236722915e+01
1.684000712971370935e+09 3.294520311754783324e+04 -4.164933398637206352e+01 -6.701550300396408488e+01
1.684000913200631142e+09 3.291379686885368574e+04 -4.165850068713969279e+01 -6.685983278948344832e+01
1.684001113291975975e+09 3.291379686885368574e+04 -4.165850068713969279e+01 -6.685983278948344832e+01
1.684001313500335932e+09 3.290409374164978362e+04 -4.166416551258046042e+01 -6.672383121371358072e+01
1.684001513761652470e+09 3.291409374166142516e+04 -4.168550110228488137e+01 -6.656050111319881069e+01
1.684001714055987597e+09 3.296170312281737279e+04 -4.171183398266132514e+01 -6.642133335732420107e+01
1.684001914270071507e+09 3.296170312281737279e+04 -4.171183398266132514e+01 -6.642133335732420107e+01
1.684002114734546185e+09 3.296170312281737279e+04 -4.171183398266132514e+01 -6.642133335732420107e+01
1.684002315091946840e+09 3.280990624935596861e+04 -4.173400118288910221e+01 -6.626533515897237692e+01
1.684002515651971340e+09 3.283920311551522173e+04 -4.175000001484295353e+01 -6.611949926384713194e+01
1.684002715829849243e+09 3.281140624983501766e+04 -4.176533508388450144e+01 -6.595300298322760568e+01
1.684002915961614132e+09 3.281140624983501766e+04 -4.176533508388450144e+01 -6.595300298322760568e+01
1.684003116504803181e+09 3.268799999721534550e+04 -4.178150180535891423e+01 -6.578783422843270046e+01
1.684003316766074896e+09 3.281349999592953827e+04 -4.179449844914360312e+01 -6.561150362845778261e+01
1.684003517121869326e+09 3.281349999592953827e+04 -4.179449844914360312e+01 -6.561150362845778261e+01
1.684003717551056385e+09 3.278579687252309668e+04 -4.180516819278830098e+01 -6.542949680365377674e+01
1.684003917665627718e+09 3.279040624312833097e+04 -4.180849840673815976e+01 -6.523950202512543228e+01
1.684004117871486187e+09 3.279040624312833097e+04 -4.180849840673815976e+01 -6.523950202512543228e+01
1.684004318001389742e+09 3.279040624312833097e+04 -4.180849840673815976e+01 -6.523950202512543228e+01
1.684004518297274828e+09 3.279040624312833097e+04 -4.180849840673815976e+01 -6.523950202512543228e+01
1.684004718474101782e+09 3.287270311984994623e+04 -4.181233216352116955e+01 -6.488166810127013662e+01
1.684004918732410908e+09 3.281599999354593456e+04 -4.181616596221368809e+01 -6.472083287423495790e+01
1.684005118659397840e+09 3.281599999354593456e+04 -4.181616596221368809e+01 -6.472083287423495790e+01
1.684005318704798460e+09 3.279499999638530426e+04 -4.181800080272788023e+01 -6.456333163300607225e+01
